組織１,組織２,組織３,合計,合計管理職,合計管理職兼務職員を除く,事務,事務管理職,事務管理職兼務職員を除く,技術,技術管理職,技術管理職兼務職員を除く
オリンピック・パラリンピック準備局,,,287,73,,246,63,,41,10,
オリンピック・パラリンピック準備局,総務部,,46,,13,46,,13,0,,0
オリンピック・パラリンピック準備局,総務部,総務課,35,,11,35,,11,0,,0
オリンピック・パラリンピック準備局,総務部,企画計理課,11,,2,11,,2,0,,0
オリンピック・パラリンピック準備局,総合調整部,,87,,27,87,,27,0,,0
オリンピック・パラリンピック準備局,総合調整部,調整課,40,,10,40,,10,0,,0
オリンピック・パラリンピック準備局,総合調整部,連携推進課,28,,11,28,,11,0,,0
オリンピック・パラリンピック準備局,総合調整部,計画運営課,10,,3,10,,3,0,,0
オリンピック・パラリンピック準備局,総合調整部,パラリンピック準備課,9,,3,9,,3,0,,0
オリンピック・パラリンピック準備局,大会施設部,,83,,21,42,,11,41,,10
オリンピック・パラリンピック準備局,大会施設部,調整課,26,,6,22,,6,4,,0
オリンピック・パラリンピック準備局,大会施設部,施設設備第一課,43,,13,16,,5,27,,8
オリンピック・パラリンピック準備局,大会施設部,施設設備第二課,14,,2,4,,0,10,,2
オリンピック・パラリンピック準備局,スポーツ推進部,,71,,12,71,,12,0,,0
オリンピック・パラリンピック準備局,スポーツ推進部,調整課,35,,7,35,,7,0,,0
オリンピック・パラリンピック準備局,スポーツ推進部,事業推進課,18,,3,18,,3,0,,0
オリンピック・パラリンピック準備局,スポーツ推進部,障害者スポーツ課,18,,2,18,,2,0,,0
