"年齢(歳)","男／身長(cm)／人","男／身長(cm)／平均値","男／身長(cm)／標準偏差","男／体重(kg)／人","男／体重(kg)／平均値","男／体重(kg)／標準偏差","女／身長(cm)／人","女／身長(cm)／平均値","女／身長(cm)／標準偏差","女／体重(kg)／人","女／体重(kg)／平均値","女／体重(kg)／標準偏差"
"1","1","79.5","0","1","9.5","0","1","77.5","0","1","10.2","0"
"2","3","89.7","3.2","3","12.3","0.4","1","84","0","1","11","0"
"3","1","100.7","0","1","13.8","0","0","","","0","",""
"4","3","103.8","7.6","3","16.2","3.2","2","100.5","4.9","2","15.8","1.1"
"5","0","","","0","","","0","","","0","",""
"6","3","114.4","0.8","3","20.9","1.1","1","113","0","1","19.6","0"
"7","1","121.7","0","1","22.6","0","4","121.4","6.7","4","23.4","5.1"
"8","2","130.6","2","2","26.3","0.4","2","127.2","1.7","2","31.4","1.4"
"9","0","","","0","","","2","131.5","12","2","26.5","7.1"
"10","2","131.1","5.7","2","24.8","0.3","1","137.6","0","1","35.1","0"
"11","2","142.2","1.6","2","29.2","1.6","0","","","0","",""
"12","3","148.9","3.8","3","42.3","2.3","0","","","0","",""
"13","2","157","5.7","2","39","9.9","2","159.5","2.1","2","48.7","2.3"
"14","2","165.6","2","2","51.9","2.6","2","162.7","0.5","2","50.7","10.4"
"15","1","165","0","1","50.6","0","2","157.5","2.1","2","46","4.2"
"16","1","163","0","1","51","0","1","158","0","1","46","0"
"17","1","170","0","1","66.5","0","0","","","0","",""
"18","1","171","0","1","64.8","0","1","150.1","0","1","61.2","0"
"19","2","172","0","2","64.5","10.6","1","163","0","1","49","0"
"20","0","","","0","","","1","152","0","1","46","0"
"21","1","165.5","0","1","63","0","1","156.9","0","1","46","0"
"22","1","167","0","1","58","0","3","162","2","3","48.2","6.2"
"23","2","174","2.8","2","68","9.9","0","","","0","",""
"24","3","168","3.6","3","62.8","4.5","1","159.7","0","1","46.7","0"
"25","0","","","0","","","2","159.8","3.9","2","52.5","3.5"
"26-29","4","169.8","2.9","4","68.4","6","5","160.2","6","5","52.3","2.6"
"30-39","19","172.5","5.6","19","72.2","11.9","8","156.9","5.4","8","50.6","4.7"
"40-49","22","171.6","7.7","22","74.1","10.8","39","158.6","5.4","39","54.2","10.9"
"50-59","17","171.9","6.4","17","72.2","9.7","26","158","5.6","26","56.9","14.4"
"60-69","30","167.4","6.8","30","67","10.2","41","153.9","5.7","41","52.3","7.2"
"70歳以上","39","164.1","6","39","60.1","10.4","32","148.5","7.8","32","49.8","7.5"
"(再掲)20歳以上","138","168.5","7.1","138","67.4","11.4","159","155.2","7.1","159","52.7","9.7"
"(再掲)20-29","11","169.4","3.6","11","65.4","6.1","13","159.6","4.6","13","50","4.2"
"(再掲)60-64","10","168.3","4.2","10","67.2","8.1","19","153.8","5.6","19","52.8","7.1"
"(再掲)65-69","20","166.9","7.8","20","66.9","11.3","22","154","5.9","22","51.8","7.5"
"(再掲)70-74","19","164.8","5.6","19","63","9.5","11","150.7","5","11","49.9","7.6"
"(再掲)75-79","13","163.3","6.5","13","55.8","9.2","13","148.7","7","13","50.3","6.5"
"(再掲)80歳以上","7","163.6","6.4","7","59.9","13.5","8","145","11.4","8","48.9","9.7"
