,ｎ,投票日(7月31日)に投票した（％）,期日前投票（又は不在者投票等）をした（％）,投票しなかった（％）,答えたくない（％）,投票した（計）（％）,備考
全体,1823,68.8,13.0,17.6,0.6,81.8,
地域別区部,1381,70.8,11.1,17.5,0.7,81.9,
地域別市郡部,442,62.4,19.0,18.1,0.5,81.4,
,,,,,,,注：今回調査では、調査地点に町村部が含まれていないため、区部と市部の実際投票率を比較した。
