区分,選挙区,定数（人）
区部,千代田区,1
区部,中央区,1
区部,港区,2
区部,新宿区,4
区部,文京区,2
区部,台東区,2
区部,墨田区,3
区部,江東区,4
区部,品川区,4
区部,目黒区,3
区部,大田区,7
区部,世田谷区,8
区部,渋谷区,2
区部,中野区,3
区部,杉並区,6
区部,豊島区,3
区部,北区,3
区部,荒川区,2
区部,板橋区,5
区部,練馬区,7
区部,足立区,6
区部,葛飾区,4
区部,江戸川区,5
区部,区部計,87
市部,八王子市,5
市部,立川市,2
市部,武蔵野市,1
市部,三鷹市,2
市部,青梅市,1
市部,府中市,2
市部,昭島市,1
市部,町田市,4
市部,小金井市,1
市部,小平市,2
市部,日野市,2
市部,西東京市,2
市部,西多摩/（福生市、羽村市、あきる野市、西多摩郡）,2
市部,南多摩/（多摩市、稲城市）,2
市部,北多摩第一/（東村山市、東大和市、武蔵村山市）,3
市部,北多摩第二/（国分寺市、国立市）,2
市部,北多摩第三/（調布市、狛江市）,3
市部,北多摩第四/（清瀬市、久留米市）,2
市部,市郡計,39
島部,島部/（大島支庁管内、三宅支庁管内、八丈支庁管内、小笠原支庁管内）,1
島部,島部計,1
