総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸 出 品,(参考)国内需要財/生産財(1)+(2),(参考)国内需要財/投資財 注),,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,
ウエイト,,,855.24,741.81,113.43,47.76,445.179,268.61,62.917,47.393,66.259,362.301,127.198,235.103,73.963,161.14,144.76,492.939,191.417,,,,
平成12年平均,2000,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
平成13年平均,2001,,98.4,97.8,102.5,103,98.5,97.4,99.5,102,99.8,97.6,95.6,98.7,95.3,100.2,103.1,99,96.9,,,,
平成14年平均,2002,,96.4,95.7,101,103.7,96.6,94.6,99.1,101.4,98.8,95.2,92.3,96.8,90.4,99.7,101.9,97.3,94.5,,,,
平成15年平均,2003,,95.7,95,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,
平成12年度平均,2000,,99.7,99.5,101,101.3,99.9,99.7,100,100.9,100.1,99.3,98.8,99.6,98.8,100,100.8,100,99.2,,,,
平成13年度平均,2001,,97.7,97.1,102,102.3,97.8,96.3,99.3,102,99.5,97,94.7,98.3,94.2,100.2,103.5,98.3,96.2,,,,
平成14年度平均,2002,,96.2,95.5,101.2,106.4,96.6,94.5,99.2,101.9,98.7,94.5,91.3,96.2,89.1,99.5,100.3,97.5,93.9,,,,
平成15年度平均,2003,,95.6,95,99.4,107.9,96.6,94.3,100.9,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,
平成15年４月,2003,4,96.1,95.1,102.6,109.9,96.9,94.6,100.2,103.3,98.6,93.3,89.3,95.4,86.4,99.5,100,98.2,92.9,,,,
平成15年５月,2003,5,95.4,94.8,99.5,104.2,96.5,94.3,100.1,101.6,98.5,92.9,89,95.1,86.1,99.2,99.1,97.3,92.6,,,,
平成15年６月,2003,6,95.4,94.7,100.3,106.2,96.4,94.3,100.3,100,98.6,92.8,88.6,95,86,99.1,99.7,97.3,92.5,,,,
平成15年７月,2003,7,95.7,94.9,100.7,106.9,96.7,94.2,100.2,103.8,98.6,92.9,88.6,95.2,85.8,99.6,99.3,97.7,92.4,,,,
平成15年８月,2003,8,95.8,94.9,101.3,108,96.8,94.3,100.3,104.1,98.6,92.8,88.5,95.2,85.6,99.6,99,97.9,92.4,,,,
平成15年９月,2003,9,95.6,94.9,99.6,107.6,96.6,93.9,100.4,104.1,98.5,92.7,88.2,95.1,85,99.7,96.9,97.7,92.2,,,,
平成15年10月,2003,10,94.9,94.7,96.2,104.4,95.9,93.5,100.5,100.4,98.3,92.4,87.7,95,84.4,99.8,94,96.7,91.9,,,,
平成15年11月,2003,11,95.1,94.8,96.9,106.7,96,93.6,100.8,100.4,98.2,92.3,87.6,94.9,84.1,99.8,93.8,97.1,92,,,,
平成15年12月,2003,12,95.3,94.9,97.3,108.1,96.2,93.8,100.9,100.3,98.3,92.4,87.4,95.1,84,100.2,93.8,97.3,91.9,,,,
平成16年１月,2004,1,95.4,95,98.1,108.7,96.5,94.2,101.4,100.4,98.5,92.4,87.3,95.1,84.1,100.2,94.3,97.7,91.9,,,,
平成16年２月,2004,2,95.8,95.3,99,111.3,97,94.7,102.4,100.7,98.5,92.2,87.1,95,83.9,100.1,95.3,98.4,92.2,,,,
平成16年３月,2004,3,96.3,95.5,101.4,112.6,97.9,95.7,103.8,101.2,98.6,92.1,87.2,94.8,83.8,99.8,96.5,99.3,92.7,,,,
平成16年４月,2004,4,96.4,95.7,101.4,113.4,98.3,96.2,104.5,101.5,99,91.8,86.9,94.5,83.3,99.6,94.6,99.8,92.7,,,,
対前月比(%),,,0.1,0.2,0,0.7,0.4,0.5,0.7,0.3,0.4,-0.3,-0.3,-0.3,-0.6,-0.2,-2,-,-,,,,
対前年同月比(%),,,0.3,0.6,-1.2,3.2,1.4,1.7,4.3,-1.7,0.4,-1.6,-2.7,-0.9,-3.6,0.1,-5.4,-,-,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
東京の物価／平成16年5月,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,
