年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成18年平均,2006,,28.6,33.2,32.2,31,29.4,27.6,26.7,26.2
nen,平成19年平均,2007,,28.3,32.1,29.9,30.9,29.6,28.6,26.2,27.2
nen,平成20年平均,2008,,28.3,33,31.4,31.5,29.7,27.4,25.5,27.3
nen,平成21年平均,2009,,27.6,29.8,31.7,31.2,29.9,27.5,25,25.8
nen,平成22年平均,2010,,27.4,31.5,31.5,29.8,28.7,26.9,25.8,25.9
nen,平成23年平均,2011,,28.5,30.4,30.3,29.7,29.2,28.5,26.4,28.3
nen,平成24年平均,2012,,28,30.4,31.9,30,30.2,27.6,25.8,26.9
tuki,平成24年11月,2012,11,25.7,30.3,28.2,29.3,28.8,27.4,25.9,21
tuki,平成24年12月,2012,12,24.2,28.4,29,29.7,25,25.4,24.1,19.5
tuki,平成25年1月,2013,1,30.1,31.6,33.1,30,30.7,29.4,29,29.7
tuki,平成25年2月,2013,2,32.2,31.4,36.5,33,34.9,30.4,32,31
tuki,平成25年3月,2013,3,26.9,29.9,29.6,31.6,32.2,28.9,25.6,23
tuki,平成25年4月,2013,4,34.5,32.2,31.5,30.4,28.7,33.9,26.7,42.1
tuki,平成25年5月,2013,5,28.1,28.4,32.8,30.9,28.5,28.7,24.5,27.7
tuki,平成25年6月,2013,6,26,28.2,29.8,28,29.3,27.2,25.8,23
tuki,平成25年7月,2013,7,23.6,29.9,28.1,30.1,26.3,27.2,27.5,16.6
tuki,平成25年8月,2013,8,25.1,27.9,32,29.2,25.7,28.5,26.5,19.6
tuki,平成25年9月,2013,9,29.4,30,31.1,29.8,30.6,26.4,29.8,29.4
tuki,平成25年10月,2013,10,29.7,29.1,30.4,28.7,29.8,27.9,30.4,30.2
tuki,平成25年11月,2013,11,25.6,31.4,27.5,31,31,26.3,28.2,19.5
,,,,,,,,,,,
東京都生計分析調査　平成25年11月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
